workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,ohyeschoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A38ZV8LBZ034IZ,none,gen=2,age=4,eth=3,Louisiana,none,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,0,100,35,100,None,None
A38ZV8LBZ034IZ,none,gen=2,age=4,eth=3,Louisiana,none,married,aar,m,rise3,Ellen is married?,response=2,0,85,20,80,te speaker could be expressing suprrise that Ellen is married rather than asking if she is.,none
A38ZV8LBZ034IZ,none,gen=2,age=4,eth=3,Louisiana,none,yemen,ros,f,rise2,Lenny's from Yemen?,response=2,0,75,40,60,The speaker sounds doubtful that Lenny's from Yemen rather than inquisitive about the fact.,none
A38ZV8LBZ034IZ,none,gen=2,age=4,eth=3,Louisiana,none,obama,ros,f,rise1,Laura met President Obama?,response=2,0,85,20,70,The speaker sounds surprised the Laura met President Obama. ,none
A38ZV8LBZ034IZ,none,gen=2,age=4,eth=3,Louisiana,none,mom,kev,m,fall,Eleanore is Annie's mom.,response=1,100,0,80,80,none,none
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,spaceship,bon,f,rise2,Are you the next patient to the moon?,response=1,30,86,60,85,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,married,aar,m,rise1,Ellen is married.,response=1,94,65,68,78,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,yemen,ros,f,fall,My niece from Yemen.,response=1,100,34,82,94,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,mom,kev,m,rise3,Eleanor is Annie's mom.,response=1,89,40,82,94,,
A3BOY7SUI425MK,,gen=1,age=1,eth=3,pa,,obama,ros,f,qrise,Did Laura meet President Obama?,response=2,44,88,76,97,,
A35C12CR628WKD,,gen=2,age=1,eth=3,Midwest,,spaceship,bon,f,rise1,Maria was in a spaceship to the moon.,response=2,17,30,31,75,,
A35C12CR628WKD,,gen=2,age=1,eth=3,Midwest,,mom,kev,m,rise2,Eleanor is Andy's mom?,response=2,19,29,21,71,,
A35C12CR628WKD,,gen=2,age=1,eth=3,Midwest,,married,aar,m,fall,Ellen is married.,response=1,82,71,75,56,,
A35C12CR628WKD,,gen=2,age=1,eth=3,Midwest,,obama,ros,f,rise3,Laura met president Obama?,response=2,36,30,32,76,,
A35C12CR628WKD,,gen=2,age=1,eth=3,Midwest,,yemen,ros,f,qrise,Is Lennie from Yemen?,response=2,38,26,27,80,,
AA6KOL8Y7E3DL,,gen=2,age=2,eth=2,New England,,mom,kev,m,rise2,Eleanor is Andy's mom,response=1,64,60,55,54,,
AA6KOL8Y7E3DL,,gen=2,age=2,eth=2,New England,,spaceship,bon,f,rise1,Maria was in a spaceship to the moon,response=2,50,64,50,48,,
AA6KOL8Y7E3DL,,gen=2,age=2,eth=2,New England,,obama,ros,f,rise3,Laura met President Obama,response=2,39,50,35,55,,
AA6KOL8Y7E3DL,,gen=2,age=2,eth=2,New England,,yemen,ros,f,qrise,Is Lenny from Yemen,response=2,23,63,17,65,,
AA6KOL8Y7E3DL,,gen=2,age=2,eth=2,New England,,married,aar,m,fall,Ellen is married,response=1,83,55,75,52,,
A15YQDV6NO29VB,,gen=2,age=3,eth=3,Mid-east Virginia,,spaceship,kev,m,rise2,Maria was in a spaceship to the moon,response=1,20,17,25,100,,
A15YQDV6NO29VB,,gen=2,age=3,eth=3,Mid-east Virginia,,mom,ros,f,rise3,Eleanor is Annie's Mom,response=1,23,26,0,97,,
A15YQDV6NO29VB,,gen=2,age=3,eth=3,Mid-east Virginia,,obama,aar,m,qrise,Did Laura meet President Obama?,response=2,25,100,0,100,,
A15YQDV6NO29VB,,gen=2,age=3,eth=3,Mid-east Virginia,,married,bon,f,rise1,Ellen is married?,response=2,0,100,0,100,,
A15YQDV6NO29VB,,gen=2,age=3,eth=3,Mid-east Virginia,,yemen,aar,m,fall,Lenny's from Yemen,response=1,100,0,39,100,,
A3SBJUNGLH4FAR,No thank you! ,gen=1,age=1,eth=2,New Jersey ,No thank you! ,obama,ros,f,rise1,Laura met President Obama. ,response=2,40,63,39,57,It may be part of a complete sentence (may be followed by a comma rather than a question mark). ,Nope. 
A3SBJUNGLH4FAR,No thank you! ,gen=1,age=1,eth=2,New Jersey ,No thank you! ,married,aar,m,rise3,Ellen is married?,response=2,36,66,33,61,It sounds more like a question than a pause. ,
A3SBJUNGLH4FAR,No thank you! ,gen=1,age=1,eth=2,New Jersey ,No thank you! ,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon? ,response=2,24,71,32,63,,
A3SBJUNGLH4FAR,No thank you! ,gen=1,age=1,eth=2,New Jersey ,No thank you! ,yemen,ros,f,rise2,Lenny's from Yemen,response=1,62,43,58,64,May be a question (Lenny's from Yemen?) ,
A3SBJUNGLH4FAR,No thank you! ,gen=1,age=1,eth=2,New Jersey ,No thank you! ,mom,kev,m,fall,Elanor is Annie's mom. ,response=1,82,66,74,65,,
A2AE187YCSLJ1Y,,gen=2,age=2,eth=3,South ,,married,aar,m,fall,ellen is married,response=2,97,92,88,74,,
A2AE187YCSLJ1Y,,gen=2,age=2,eth=3,South ,,spaceship,bon,f,rise1,maria was in a spaceship to the moon,response=1,94,27,31,27,,
A2AE187YCSLJ1Y,,gen=2,age=2,eth=3,South ,,mom,kev,m,rise2,elanor is annie's mom,response=1,96,70,36,63,,
A2AE187YCSLJ1Y,,gen=2,age=2,eth=3,South ,,obama,ros,f,rise3,laura met president obama,response=1,88,27,27,38,,
A2AE187YCSLJ1Y,,gen=2,age=2,eth=3,South ,,yemen,ros,f,qrise,is lenny from yemen ,response=1,91,36,35,69,,
A3PDTUA1YLJTMC,no,gen=2,age=3,eth=3,PA,no,mom,ros,f,rise3,Eleanor is Andy's mom,response=2,71,40,43,64,no,no
A3PDTUA1YLJTMC,no,gen=2,age=3,eth=3,PA,no,spaceship,kev,m,rise2,real is in a spaceship to the moon ?,response=2,31,43,28,70,no,no
A3PDTUA1YLJTMC,no,gen=2,age=3,eth=3,PA,no,obama,aar,m,qrise,Did Blar meet president Obama ?,response=2,32,39,33,67,,
A3PDTUA1YLJTMC,no,gen=2,age=3,eth=3,PA,no,yemen,aar,m,fall,Lenny is from Yemen,response=1,78,75,70,67,,
