workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
A3L1SMVQ0WV7UG,armadillo_kev_m_rise1,armadillo,armadillo,kev,Male,rise1,Armadillos are mammals,Assertion,29,30,10,65,Male,1,3
A3L1SMVQ0WV7UG,spaceship_maria_bon_f_rise2,spaceship,maria,bon,Female,rise2,Maria was in a spaceship to the moon,Assertion,80,72,69,34,Male,1,3
A3L1SMVQ0WV7UG,mom_eleanor_kev_m_rise3,mom,eleanor,kev,Male,rise3,Elenor is annies mom,Assertion,73,93,81,81,Male,1,3
A3L1SMVQ0WV7UG,yemen_lenny_ros_f_qrise3,yemen,lenny,ros,Female,qrise3,Is lennie from Yemen?,Request,0,0,0,99,Male,1,3
A3L1SMVQ0WV7UG,beer_we_ed_m_rise2,beer,we,ed,Male,rise2,We should go get beer,Request,75,80,75,74,Male,1,3
A3L1SMVQ0WV7UG,married_ellen_ed_m_rise1,married,ellen,ed,Male,rise1,Ellen is married,Assertion,76,72,76,68,Male,1,3
A3L1SMVQ0WV7UG,yemen_lenny_ros_f_rise3,yemen,lenny,ros,Female,rise3,Lanie is from yemen?,Question,22,26,32,27,Male,1,3
A3L1SMVQ0WV7UG,obama_laura_ros_f_fall,obama,laura,ros,Female,fall,Lora met president Obama,Assertion,69,64,72,62,Male,1,3
AJ3F5RR0P8LZR,yemen_lenny_ros_f_rise1,yemen,lenny,ros,Female,rise1,Whenny is from human,Question,16,18,4,54,Female,1,3
AJ3F5RR0P8LZR,beer_we_ed_m_rise3,beer,we,ed,Male,rise3,We should go get beer?,Invitation,63,64,36,55,Female,1,3
AJ3F5RR0P8LZR,mom_eleanor_kev_m_fall,mom,eleanor,kev,Male,fall,Conner is Amy's mom.,Assertion,100,100,65,47,Female,1,3
AJ3F5RR0P8LZR,armadillo_kev_m_rise2,armadillo,armadillo,kev,Male,rise2,Armadillos are mammals?,Question,40,40,19,44,Female,1,3
AJ3F5RR0P8LZR,married_ellen_ed_m_rise2,married,ellen,ed,Male,rise2,Ellen is married?,Question,40,40,28,57,Female,1,3
AJ3F5RR0P8LZR,yemen_i_ros_f_fall,yemen,i,ros,Female,fall,I'm from Yemen.,Assertion,100,100,35,64,Female,1,3
AJ3F5RR0P8LZR,obama_laura_ros_f_rise1,obama,laura,ros,Female,rise1,Lauren met president Obama?,Question,58,75,36,64,Female,1,3
AJ3F5RR0P8LZR,spaceship_maria_bon_f_rise3,spaceship,maria,bon,Female,rise3,Maria was in a spaceship to the moon?,Request,32,40,16,47,Female,1,3
A3GQ6KDIZWCMW6,lawn_you_kev_m_rise3,lawn,you,kev,Male,rise3,You need to mow the lawn? ,Question,14,15,0,57,Male,3,3
A3GQ6KDIZWCMW6,mom_eleanor_bon_f_rise1,mom,eleanor,bon,Female,rise1,Eleanor is Annie's mom?,Question,10,8,45,55,Male,3,3
A3GQ6KDIZWCMW6,yemen_lenny_bon_f_rise2,yemen,lenny,bon,Female,rise2,Monies from Yemen?,Question,11,11,42,55,Male,3,3
A3GQ6KDIZWCMW6,spaceship_maria_kev_m_fall,spaceship,maria,kev,Male,fall,Rio was in a spaceship to the moon.,Assertion,68,66,59,32,Male,3,3
A3GQ6KDIZWCMW6,obama_laura_ed_m_rise2,obama,laura,ed,Male,rise2,Laura met President Obama?,Question,12,9,12,56,Male,3,3
A3GQ6KDIZWCMW6,yemen_you_ros_f_fall,yemen,you,ros,Female,fall,You're from Yemen. ,Assertion,65,63,56,46,Male,3,3
A3GQ6KDIZWCMW6,rain_it_ed_m_fall,rain,it,ed,Male,fall,It's raining. ,Assertion,79,80,71,40,Male,3,3
A3GQ6KDIZWCMW6,married_ellen_ros_f_rise3,married,ellen,ros,Female,rise3,Ellen is married?,Question,10,9,9,47,Male,3,3
