workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,speechactchoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A2ICIKKYSBL9V4,,gen=1,age=3,eth=4,California,,spaceship,kev,m,qrise,Was Maria on a spaceship to the moon?,response=2,61,66,31,69,Is Maria on a spaceship to the moon?,Sounds less robotic than others.
A2ICIKKYSBL9V4,,gen=1,age=3,eth=4,California,,married,bon,f,rise3,Elen is married?,response=2,100,100,63,62,,
A1SIJPO6DB6NHY,none,gen=2,age=4,eth=1,east coast,none,married,aar,m,rise2,Ellen is married,response=1,98,99,80,80,no,Not sure if he is answering or asking a question
A1SIJPO6DB6NHY,none,gen=2,age=4,eth=1,east coast,none,mom,kev,m,qrise,Is elenore any fun,response=2,35,35,20,10,Is elenore any fun.,could barely understand what he was saying.
A1SIJPO6DB6NHY,none,gen=2,age=4,eth=1,east coast,none,spaceship,bon,f,rise3,Maria was in a spaceship to the moon,response=2,30,30,40,50,no,no
A1SIJPO6DB6NHY,none,gen=2,age=4,eth=1,east coast,none,yemen,ros,f,rise1,Moneys from yemen,response=2,30,1,0,30,no,no
A1SIJPO6DB6NHY,none,gen=2,age=4,eth=1,east coast,none,obama,ros,f,fall,Where I meet president obama,response=1,20,30,40,50,no,no
A1QQKA167CC96O,None,gen=2,age=1,eth=3,New York,None,obama,ros,f,rise3,Laura met president Obama.,response=1,100,40,65,55,,
A1QQKA167CC96O,None,gen=2,age=1,eth=3,New York,None,spaceship,bon,f,rise1,Maria was in a spaceship to the moon.,response=1,70,35,45,60,,
A1QQKA167CC96O,None,gen=2,age=1,eth=3,New York,None,mom,kev,m,rise2,Eleanor is Andys mom.,response=1,40,32,40,45,,
A1QQKA167CC96O,None,gen=2,age=1,eth=3,New York,None,yemen,ros,f,qrise,Is Lenny from Yemen.,response=2,10,65,55,60,,
A1QQKA167CC96O,None,gen=2,age=1,eth=3,New York,None,married,aar,m,fall,Ellen is married. ,response=1,20,80,60,40,,
A2CF2BD4Q0ZDJN,,gen=2,age=4,eth=3,Midwest,,mom,ros,f,fall,Eleanor is Annie's mom,response=1,94,23,92,35,,
A2CF2BD4Q0ZDJN,,gen=2,age=4,eth=3,Midwest,,spaceship,kev,m,qrise,Was Marie on a spaceship to the moon,response=2,10,62,13,82,,
A2CF2BD4Q0ZDJN,,gen=2,age=4,eth=3,Midwest,,obama,aar,m,rise1,Lauren at President Obama,response=2,38,39,20,72,,
A2CF2BD4Q0ZDJN,,gen=2,age=4,eth=3,Midwest,,married,bon,f,rise3,Ellen is married?,response=2,16,73,16,79,,
A2CF2BD4Q0ZDJN,,gen=2,age=4,eth=3,Midwest,,yemen,aar,m,rise2,lenny's from yemen?,response=2,32,65,24,76,,
A2AWMAJEJBYVY0,no,gen=1,age=1,eth=3,minnesota,no,mom,kev,m,rise3,elenor is annie's mom,response=2,24,78,26,94,,
A2AWMAJEJBYVY0,no,gen=1,age=1,eth=3,minnesota,no,yemen,ros,f,fall,lenn'y from yemon,response=1,92,18,72,64,,
A2AWMAJEJBYVY0,no,gen=1,age=1,eth=3,minnesota,no,spaceship,bon,f,rise2,maria was in a shapeship to the moon,response=2,10,76,32,94,,
A2AWMAJEJBYVY0,no,gen=1,age=1,eth=3,minnesota,no,married,aar,m,rise1,ellen is married,response=1,70,39,24,85,,
A2AWMAJEJBYVY0,no,gen=1,age=1,eth=3,minnesota,no,obama,ros,f,qrise,did laura meet president obama,response=2,10,42,43,76,,
A2UCO1QAJ36RQ9,none,gen=1,age=3,eth=3,Florida,none,mom,kev,m,rise2,Eleanor is Andy's mom,response=1,74,76,18,50,Eleanor is Andy's mom,The speaker has a speech impediment.
A2UCO1QAJ36RQ9,none,gen=1,age=3,eth=3,Florida,none,spaceship,bon,f,rise1,Maria was in a spaceship to the moon. ,response=1,95,94,93,88,none,none
A2UCO1QAJ36RQ9,none,gen=1,age=3,eth=3,Florida,none,yemen,ros,f,qrise,Is Loni from Yemen?,response=2,74,72,65,83,Is Loni from Yemen?,none
A2UCO1QAJ36RQ9,none,gen=1,age=3,eth=3,Florida,none,obama,ros,f,rise3,Laura met President Obama. ,response=1,77,75,76,76,none,none
A2UCO1QAJ36RQ9,none,gen=1,age=3,eth=3,Florida,none,married,aar,m,fall,Ellen is married. ,response=1,88,87,85,91, none ,none
AHLEIW6IVQ98T,,gen=2,age=2,eth=3,northeast,,married,bon,f,rise2,Ellen is married,response=2,33,84,23,88,,
AHLEIW6IVQ98T,,gen=2,age=2,eth=3,northeast,,yemen,aar,m,rise1,Lenny is from Yemen,response=2,18,64,26,65,,
AHLEIW6IVQ98T,,gen=2,age=2,eth=3,northeast,,obama,aar,m,fall,Laura met president Obama,response=1,90,56,81,57,,
AHLEIW6IVQ98T,,gen=2,age=2,eth=3,northeast,,spaceship,kev,m,rise3,Maria was in a spaceship to the moon,response=2,31,62,37,85,,
AHLEIW6IVQ98T,,gen=2,age=2,eth=3,northeast,,mom,ros,f,qrise,is Elenor Annie's mom,response=2,12,69,40,77,,
A1UGD2VEVSML1U,,gen=2,age=1,eth=3,Nevada Las Vegas,,married,bon,f,rise1,felon is married,response=1,79,60,20,84,,
A1UGD2VEVSML1U,,gen=2,age=1,eth=3,Nevada Las Vegas,,obama,aar,m,qrise,Deplore me President Obama,response=2,23,44,40,33,Deplore Me President Obama,
A1UGD2VEVSML1U,,gen=2,age=1,eth=3,Nevada Las Vegas,,mom,ros,f,rise3,Elenor is Andy's mom,response=1,100,74,62,75,,
A1UGD2VEVSML1U,,gen=2,age=1,eth=3,Nevada Las Vegas,,yemen,aar,m,fall,Lenny's Communion,response=2,58,45,93,28,Lenny's Communion,
A1UGD2VEVSML1U,,gen=2,age=1,eth=3,Nevada Las Vegas,,spaceship,kev,m,rise2,Maria was in a spaceship to the moon.,response=1,100,61,85,30,,
A2UCSSENYIMEIW,,gen=1,age=2,eth=3,Southern Nevada,,yemen,aar,m,rise3,Lenny's from Yemen,response=1,83,37,75,97,,Robotic voice 
A2UCSSENYIMEIW,,gen=1,age=2,eth=3,Southern Nevada,,spaceship,kev,m,fall,Maria was in a spaceship to the moon,response=1,98,37,98,100,,
A2UCSSENYIMEIW,,gen=1,age=2,eth=3,Southern Nevada,,mom,ros,f,rise1,Eleanor is Annie's mom,response=2,6,77,51,96,,
A2UCSSENYIMEIW,,gen=1,age=2,eth=3,Southern Nevada,,obama,aar,m,rise2,Laura met President Obama,response=2,10,74,58,91,,
A2UCSSENYIMEIW,,gen=1,age=2,eth=3,Southern Nevada,,married,bon,f,qrise,Is Owen married,response=2,12,90,64,98,,
A1FJKYOF7F7AQF,no,gen=1,age=4,eth=3,midwest,no,married,bon,f,rise1,Ellen is married?,response=2,0,87,2,91,,
A1FJKYOF7F7AQF,no,gen=1,age=4,eth=3,midwest,no,obama,aar,m,qrise,Did Gloria meet President Obama?,response=2,12,83,25,54,,
A1FJKYOF7F7AQF,no,gen=1,age=4,eth=3,midwest,no,spaceship,kev,m,rise2,Maria was in a spaceship to the moon?,response=2,11,83,23,71,,
A1FJKYOF7F7AQF,no,gen=1,age=4,eth=3,midwest,no,mom,ros,f,rise3,Eleanor is Annie's mom?,response=2,8,93,27,75,,
A1FJKYOF7F7AQF,no,gen=1,age=4,eth=3,midwest,no,yemen,aar,m,fall,Leeny is from Yemen.,response=1,83,17,75,52,,
A2XNO2KWLLGW6Z,None,gen=2,age=1,eth=3,South,None,mom,kev,m,rise1,Elanore is Andy's mom,response=2,13,90,29,88,,
A2XNO2KWLLGW6Z,None,gen=2,age=1,eth=3,South,None,yemen,ros,f,rise3,Lenny's from Yemen ,response=2,22,89,24,99,,
A2XNO2KWLLGW6Z,None,gen=2,age=1,eth=3,South,None,married,aar,m,qrise,Is Ellen married? ,response=2,0,100,14,82,,
A2XNO2KWLLGW6Z,None,gen=2,age=1,eth=3,South,None,obama,ros,f,rise2,Laura met President Obama,response=1,86,16,82,95,,
A2XNO2KWLLGW6Z,None,gen=2,age=1,eth=3,South,None,spaceship,bon,f,fall,Marie was in a spaceship to the moon,response=1,100,0,100,100,,
A248ARSA6FS20S,No,gen=2,age=4,eth=3,South,No,married,bon,f,qrise,Is Ellen married?,response=2,0,0,24,81,No,No
A248ARSA6FS20S,No,gen=2,age=4,eth=3,South,No,obama,aar,m,rise2,Lorem at President Obama.,response=1,43,44,50,72,,
A248ARSA6FS20S,No,gen=2,age=4,eth=3,South,No,mom,ros,f,rise1,Eleanor is Annie's mom?,response=2,44,44,58,75,,
A248ARSA6FS20S,No,gen=2,age=4,eth=3,South,No,yemen,aar,m,rise3,Lenny's from Yemen?,response=2,9,9,55,77,,
